,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1134,2019-03-27,281.11,281.76,277.93,279.65,259.9,72224700,72224700,-1.46,-0.51937,279.78,"March 27, 19",-0.0051937
1135,2019-03-26,280.99,282.18,279.56,281.12,261.27,68125900,68125900,0.13,0.04626499,280.95,"March 26, 19",0.0004626499
1136,2019-03-25,278.87,280.19,277.64,279.04,259.33,85575200,85575200,0.17,0.0609603,278.96,"March 25, 19",0.000609603
1137,2019-03-22,283.22,283.8,279.18,279.25,259.53,122659300,122659300,-3.97,-1.4,280.74,"March 22, 19",-0.014
1138,2019-03-21,280.64,285.18,280.59,284.73,264.62,79550400,79550400,4.09,1.46,283.5,"March 21, 19",0.0146
1139,2019-03-20,282.16,283.5,280.32,281.55,261.67,84609200,84609200,-0.61,-0.21619,281.79,"March 20, 19",-0.0021619
1140,2019-03-19,283.51,284.36,281.41,282.4,262.46,90268100,90268100,-1.11,-0.39152,282.72,"March 19, 19",-0.0039152
1141,2019-03-18,281.55,282.66,281.3,282.33,262.39,62199800,62199800,0.78,0.27704,282.1,"March 18, 19",0.0027704
1142,2019-03-15,280.54,282.21,280.33,281.31,261.44,81309000,81309000,0.77,0.27447,281.28,"March 15, 19",0.0027447
1143,2019-03-14,281.37,281.84,280.67,281.16,260.16,67518400,67518400,-0.21,-0.07463482,281.22,"March 14, 19",-0.0007463482
1144,2019-03-13,280.48,282.38,280.3,281.34,260.32,80639200,80639200,0.86,0.30662,281.34,"March 13, 19",0.0030662
1145,2019-03-12,279.06,280.07,278.85,279.49,258.61,79667500,79667500,0.43,0.15409,279.47,"March 12, 19",0.0015409
1146,2019-03-11,275.26,278.62,275.23,278.44,257.64,65098900,65098900,3.18,1.16,277.43,"March 11, 19",0.0116
1147,2019-03-08,272.94,274.65,272.42,274.46,253.96,85795800,85795800,1.52,0.5569,273.84,"March 08, 19",0.005569
1148,2019-03-07,276.83,276.99,274.07,275.01,254.47,94885100,94885100,-1.82,-0.65744,275.36,"March 07, 19",-0.0065744
1149,2019-03-06,279.15,279.16,276.97,277.33,256.61,75039800,75039800,-1.82,-0.65198,277.82,"March 06, 19",-0.0065198
1150,2019-03-05,279.54,279.76,278.41,279.02,258.18,59114600,59114600,-0.52,-0.18602,279.06,"March 05, 19",-0.0018602
1151,2019-03-04,281.6,281.87,276.84,279.4,258.53,106494600,106494600,-2.2,-0.78125,279.37,"March 04, 19",-0.0078125
1152,2019-03-01,280.44,280.88,278.82,280.42,259.47,78880500,78880500,-0.02,-0.00713165,280.04,"March 01, 19",-7.13165e-05
1153,2019-02-28,278.96,279.45,278.32,278.68,257.86,69268300,69268300,-0.28,-0.10037,278.82,"February 28, 19",-0.0010037
1154,2019-02-27,278.52,279.59,277.48,279.2,258.34,56921600,56921600,0.68,0.24415,278.76,"February 27, 19",0.0024415
1155,2019-02-26,279.13,280.3,278.9,279.32,258.46,56844100,56844100,0.19,0.06806864,279.51,"February 26, 19",0.0006806864
1156,2019-02-25,280.73,281.31,279.43,279.52,258.64,69030700,69030700,-1.21,-0.43102,280.09,"February 25, 19",-0.0043102
1157,2019-02-22,278.11,279.36,277.4,279.14,258.29,78114600,78114600,1.03,0.37036,278.63,"February 22, 19",0.0037036
1158,2019-02-21,277.7,278.1,276.35,277.42,256.7,64214700,64214700,-0.28,-0.10083,277.29,"February 21, 19",-0.0010083
1159,2019-02-20,277.81,278.92,277.25,278.41,257.61,76610800,76610800,0.6,0.21597,278.19,"February 20, 19",0.0021597
1160,2019-02-19,276.48,278.58,276.47,277.85,257.1,59120800,59120800,1.37,0.49552,277.63,"February 19, 19",0.0049552
1161,2019-02-15,276.36,277.41,276.13,277.37,256.65,97088700,97088700,1.01,0.36547,276.97,"February 15, 19",0.0036547
1162,2019-02-14,273.78,275.64,272.87,274.38,253.88,83234400,83234400,0.6,0.21915,274.3,"February 14, 19",0.0021915
1163,2019-02-13,275.03,275.93,274.56,274.99,254.45,65277200,65277200,-0.04,-0.01454387,275.16,"February 13, 19",-0.0001454387
1164,2019-02-12,272.42,274.52,272.34,274.1,253.63,72270200,72270200,1.68,0.61669,273.65,"February 12, 19",0.0061669
1165,2019-02-11,271.2,271.49,270.03,270.62,250.41,68021400,68021400,-0.58,-0.21386,270.71,"February 11, 19",-0.0021386
